RISULTATI RISPOSTA DENSE (NOMIC) CON GEMINI: SEMANTIC CHUNKING

timestamp,question,answer,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
2025-11-05 08:36:29,A chi sono riservati principalmente gli appelli straordinari?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.130
2025-11-05 08:36:29,Chi decide se istituire o meno un appello straordinario?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.133
2025-11-05 08:36:29,A chi deve comunicare il docente l'istituzione di un appello straordinario?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.131
2025-11-05 08:36:29,Cosa accade se il Presidente del CIL non risponde entro una settimana alla proposta di un appello straordinario?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.153
2025-11-05 08:36:29,Quali fattori può considerare il docente nel valutare una richiesta di appello straordinario?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.144
2025-11-05 08:36:29,Esiste un limite massimo di appelli straordinari che un docente può istituire?,Non presente nei documenti.,1.000,0.000,1.000,1.000,0.928
2025-11-05 08:36:29,Quando inizia e quando termina l'anno accademico 2025/2026?,"Il contesto indica che per l'anno accademico 2025/2026, il primo semestre ha un periodo che va dal 15/09/2025 al 12/12/2025. Non sono presenti nei documenti le date di inizio e fine dell'intero anno accademico 2025/2026.",1.000,0.000,0.000,0.000,0.430
2025-11-05 08:36:29,Quali sono le principali festività nazionali indicate nel calendario?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.127
2025-11-05 08:36:29,Quali sono i giorni festivi specifici per la sede di Perugia?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.115
2025-11-05 08:36:29,Qual è il periodo previsto per le vacanze natalizie?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.136
2025-11-05 08:36:29,Quando iniziano e terminano le vacanze pasquali?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.135
2025-11-05 08:36:29,Durante quali periodi le attività didattiche sono sospese per le vacanze?,Non presente nei documenti.,0.000,0.584,0.000,0.000,0.123
2025-11-05 08:36:29,Le lezioni iniziano a ottobre 2025?,"Le lezioni per l'anno accademico 2025/2026, primo semestre, iniziano il 15/09/2025. Il contesto indica: ""periodo"": ""15/09/2025 - 12/12/2025"".",1.000,0.866,0.200,1.000,0.481
2025-11-05 08:36:29,Per quale anno accademico si riferisce il calendario delle lauree?,Non presente nei documenti.,0.000,0.000,0.867,1.000,0.129
2025-11-05 08:36:29,Quando si svolge la prima sessione di laurea dell'anno accademico 2025-2026?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.134
